video_id; name; duration_in_seconds; informativity; enthusiasm; creativity; visual_elements; audio_elements; sections
0g09DWYCGAU; SIGGRAPH 2019: Distortion-Free Wide-Angle Portraits on Camera Phones; 165; 4.157894736842105; 2.8947368421052633; 3.1052631578947367; Slides, Subtitles, Animations, Pictures/Photos, highlighting on the photos (e.g. circling, arrows), also emojis, SectionHeadings, Transitions; Voice-over; Title, Introduction, Results, RelatedWork, Method, Results, EndingSlide
0ybLCfVeFL4; Text-based Editing of Talking-head Video (SIGGRAPH 2019); 530; 4.266666666666667; 3.6666666666666665; 3.6666666666666665; Slides, Video-over, Diagrams, Subtitles, Animations, Highlighting in the visualizations, Videos; Voice-over; Title, Introduction, Method, Demo, Evaluation, EndingSlide
1hjHDwjzWwQ; Glyphboard @ VDS at IEEE VIS 2019; 292; 3.0588235294117645; 2.235294117647059; 2.2941176470588234; Subtitles, Animations, UI; no sound, No audio; Title, Demo, Evaluation
1kXd2099GfE; [CHI 2019 Video Showcase] Showcasing ElectroDermis; 120; 3.125; 2.75; 3.625; Subtitles, Animations, Pictures/Photos, Videos, UI, SectionHeadings, Transitions, text overlay; Music; Title, Method, Demo, Evaluation, Results, Demo, EndingSlide
7c6oQP1u2eQ; [SIGGRAPH Asia 2019] Neural State Machine for Character-Scene Interactions; 468; 4.3076923076923075; 3.6923076923076925; 4.153846153846154; Subtitles, Animations, Highlighting in the visualizations, Videos, Diagrams, Transitions, text overlay; Voice-over; Title, Introduction, Reflection, SystemArchitecture, Method, Results, Evaluation, Reflection
7l_Sytw79tw; [CHI 2019 Video Showcase] AttentivU: a Biofeedback System for Real-time Monitoring ...; 210; 3.888888888888889; 3.611111111111111; 4; Slides, Subtitles, Animations, Highlighting in the visualizations, Video-over, Videos, Infographics, Diagrams, UI, Transitions; Sound effects, Music, Voice-over; Title, Introduction, SystemArchitecture, Introduction, SystemArchitecture, Demo, Evaluation, Demo, EndingSlide
7suNQpNGDE8; [CHI 2019 Video Showcase] Creating Worlds: Exploring Animated Videos as a Tool...; 196; 2.210526315789474; 3.9473684210526314; 4.368421052631579; Animations, Highlighting in the visualizations, Videos, visual narration (not sure that's video as you meant it), Subtitles; Sound effects, Music; Title, Introduction, Demo, Title, EndingSlide
8gDV6tPNXQs; A Virtual Try-on System for Prescription Eyeglasses (IEEE CG&A); 232; 4.444444444444445; 3.388888888888889; 3.2777777777777777; Slides, Subtitles, Animations, Highlighting in the visualizations, Videos, Diagrams, Transitions, Pictures/Photos, 3D rendering; Voice-over; Title, Introduction, SystemArchitecture, Method, Results, Evaluation, Results, EndingSlide
8nMXiUyq3tg; [CHI 2019 Video Showcase] Digital Fabrication of Soft Actuated Objects by Machine Knitting; 134; 2.5555555555555554; 3.7222222222222223; 4.222222222222222; Slides, Pictures/Photos, Videos, Infographics, Diagrams, UI; Sound effects, Music; Title, Introduction, Method, SystemArchitecture, Demo, Method, SystemArchitecture, Demo, Method, SystemArchitecture, Demo, EndingSlide
8xjJ60W3_Fo; [CHI 2019 Video Showcase] 4D Printing A-line; 176; 3.1875; 3.125; 3.625; Subtitles, Animations, Pictures/Photos, Diagrams, moving objects, Videos; Sound effects, Music; Demo, Title, Method, Results, EndingSlide
CmSIAoa8vqE; [SIGGRAPH 2019] Vidgets: Modular Mechanical Widgets for Mobile Devices; 246; 4.3125; 4.125; 4.1875; Animations, Highlighting in the visualizations, Video-over, Pictures/Photos, Videos, Infographics, Diagrams, Charts, UI, Slides, Transitions; Voice-over, Music, Sound effects; Title, Introduction, Method, Demo, Demo, EndingSlide
DkF8P3qePio; [CHI 2019 Video Showcase] TrussFormer: 3D Printing Large Kinetic Structures; 209; 4.08; 4.8; 4.84; Subtitles, Animations, Highlighting in the visualizations, Videos, Diagrams, UI, 3D Animation, Transitions, Pictures/Photos; Sound effects, Music; Introduction, Results, Demo, Method, Results, Demo, EndingSlide
E6C0iEZ0M_s; [CHI 2019 Video Showcase] Mobeybou - A Digital Manipulative for Multicultural Narrative Creation; 169; 3.5454545454545454; 3.8181818181818183; 3.909090909090909; Subtitles, Videos, UI; Sound effects, Music; Title, Introduction, SystemArchitecture, Demo, SystemArchitecture, EndingSlide
